Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
93,0.0005163157894736842,0.5163157894736842,516.3157894736842,pulse,1Hz,20250325_201454,Valid
94,0.00030519578947368426,0.30519578947368425,305.1957894736843,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
95,0.000503896103896104,0.503896103896104,503.89610389610397,pulse,1Hz,20250325_201454,Valid
96,0.0003115591111111113,0.3115591111111113,311.5591111111113,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
97,0.0005043157894736843,0.5043157894736843,504.31578947368433,pulse,1Hz,20250325_201454,Valid
98,0.0005099168831168833,0.5099168831168833,509.91688311688335,pulse,1Hz,20250325_201454,Valid
99,0.00023509610389610397,0.23509610389610397,235.09610389610398,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
100,5.807099567099578e-05,0.05807099567099578,58.07099567099578,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
101,0.0005031376623376624,0.5031376623376624,503.13766233766245,pulse,1Hz,20250325_201454,Valid
102,0.0005108070175438597,0.5108070175438596,510.8070175438597,pulse,1Hz,20250325_201454,Valid
103,0.0005076294372294373,0.5076294372294373,507.6294372294373,pulse,1Hz,20250325_201454,Valid
104,0.0005063168831168833,0.5063168831168833,506.3168831168833,pulse,1Hz,20250325_201454,Valid
105,0.0005123168831168834,0.5123168831168834,512.3168831168834,pulse,1Hz,20250325_201454,Valid
106,0.0005109347368421056,0.5109347368421056,510.93473684210556,pulse,1Hz,20250325_201454,Valid
107,0.0005114389610389613,0.5114389610389614,511.43896103896134,pulse,1Hz,20250325_201454,Valid
108,0.0002633846153846157,0.26338461538461566,263.3846153846157,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
109,0.0005128976623376627,0.5128976623376627,512.8976623376627,pulse,1Hz,20250325_201454,Valid
110,0.0005181090909090909,0.5181090909090909,518.1090909090909,pulse,1Hz,20250325_201454,Valid
111,0.000493997948717949,0.49399794871794894,493.997948717949,pulse,1Hz,20250325_201454,Valid
112,0.00030825864661654145,0.30825864661654145,308.25864661654145,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
113,4.28294372294374e-05,0.042829437229437405,42.8294372294374,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
114,0.0005157557894736842,0.5157557894736843,515.7557894736842,pulse,1Hz,20250325_201454,Valid
115,0.0005006961038961039,0.5006961038961039,500.69610389610386,pulse,1Hz,20250325_201454,Valid
116,0.000504982456140351,0.5049824561403511,504.982456140351,pulse,1Hz,20250325_201454,Valid
117,0.0005055157894736843,0.5055157894736844,505.5157894736843,pulse,1Hz,20250325_201454,Valid
118,0.0004975157894736841,0.49751578947368413,497.51578947368415,pulse,1Hz,20250325_201454,Valid
119,6.51957894736845e-05,0.0651957894736845,65.1957894736845,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
120,0.0005103157894736845,0.5103157894736845,510.31578947368445,pulse,1Hz,20250325_201454,Valid
121,0.0005062015037593986,0.5062015037593987,506.20150375939863,pulse,1Hz,20250325_201454,Valid
122,0.0005181090909090909,0.5181090909090909,518.1090909090909,pulse,1Hz,20250325_201454,Valid
123,0.00023807099567099582,0.23807099567099582,238.0709956709958,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
124,0.0005151578947368423,0.5151578947368423,515.1578947368423,pulse,1Hz,20250325_201454,Valid
125,3.0315789473684512e-05,0.03031578947368451,30.31578947368451,pulse,1Hz,20250325_201454,Invalid (outside 450-900µs range)
