Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,58.94626083532893,54.58743972813795,-4.358821107190977,-34.89778070092962,-33.39038710800986,4.16,2.4,sine,1kHz,20250331_170940,,,
2,59.244573509415744,55.11343639283501,-4.131137116580732,-37.49868729755488,-32.68039339181824,4.16,2.4,sine,1kHz,20250331_170957,,,
3,58.30669343148028,54.70611995560232,-3.600573475877958,-32.367427369782256,-30.90259346206939,4.08,2.4,sine,1kHz,20250331_171013,,,
4,58.626946564148604,54.5090580918119,-4.117888472336702,-16.725611359242976,-26.834409370231867,4.16,2.3200000000000003,sine,1kHz,20250331_171030,,,
5,58.963706178366245,13.471379581718148,-45.4923265966481,-45.815355378216694,28.19465394383037,4.16,0.16,sine,1kHz,20250331_171047,,,
6,59.46184043621269,13.566994813113595,-45.894845623099094,-40.00738042144903,13.300491464594593,4.16,0.16,sine,1kHz,20250331_171104,,,
7,59.00437094782832,10.66952328264266,-48.33484766518566,-42.09991048537438,18.683652546676356,4.08,0.16,sine,1kHz,20250331_171120,,,
8,58.74306658011281,9.925118145101512,-48.817948435011296,-40.60626021014902,12.859731812258978,4.16,0.16,sine,1kHz,20250331_171137,,,
9,59.307569708866424,8.404660598781941,-50.90290911008448,-44.47123676581252,6.7341157704631485,4.16,0.16,sine,1kHz,20250331_171153,,,
10,59.590004225790466,14.248968676999432,-45.341035548791034,-46.25458408496642,8.435537083166656,4.08,0.16,sine,1kHz,20250331_171210,,,
