Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.0007391230769230764,0.7391230769230763,739.1230769230764,pulse,1Hz,20250320_021228
2,0.0007471743589743592,0.7471743589743592,747.1743589743592,pulse,1Hz,20250320_021228
3,0.0007342961038961037,0.7342961038961037,734.2961038961037,pulse,1Hz,20250320_021228
4,0.0007127999999999999,0.7127999999999999,712.7999999999998,pulse,1Hz,20250320_021228
5,0.0007471490445859875,0.7471490445859875,747.1490445859874,pulse,1Hz,20250320_021228
6,0.0007476963503649639,0.7476963503649638,747.6963503649639,pulse,1Hz,20250320_021228
7,0.000733549044585987,0.733549044585987,733.5490445859871,pulse,1Hz,20250320_021228
8,0.0007608000000000004,0.7608000000000004,760.8000000000004,pulse,1Hz,20250320_021228
9,0.0007471743589743592,0.7471743589743592,747.1743589743592,pulse,1Hz,20250320_021228
10,0.0007207743589743592,0.7207743589743593,720.7743589743592,pulse,1Hz,20250320_021228
