Time,CH1_noise,CH2_noise
-4e-05,0.0044,-0.034
-3.9996e-05,0.004,-0.034
-3.9992000000000006e-05,0.0044,-0.034
-3.9988000000000004e-05,0.0036000000000000003,-0.033600000000000005
-3.9984e-05,0.0028,-0.033600000000000005
-3.998e-05,0.0028,-0.034
-3.9976000000000005e-05,0.0036000000000000003,-0.033600000000000005
-3.9972e-05,0.004,-0.033600000000000005
-3.9968e-05,0.004,-0.033600000000000005
-3.9964000000000006e-05,0.0036000000000000003,-0.033600000000000005
-3.9960000000000004e-05,0.0044,-0.034
-3.9956e-05,0.0044,-0.0344
-3.9952000000000006e-05,0.0044,-0.034
-3.9948000000000004e-05,0.0048000000000000004,-0.034
-3.9944e-05,0.0048000000000000004,-0.034
-3.994e-05,0.005200000000000001,-0.034
-3.9936000000000005e-05,0.005200000000000001,-0.034
-3.9932e-05,0.0044,-0.034
-3.9928e-05,0.004,-0.0332
-3.9924000000000006e-05,0.0044,-0.0332
-3.9920000000000004e-05,0.0044,-0.0324
-3.9916e-05,0.004,-0.032
-3.9912e-05,0.0036000000000000003,-0.031200000000000002
-3.9908000000000005e-05,0.004,-0.031200000000000002
-3.9904e-05,0.0036000000000000003,-0.031200000000000002
-3.99e-05,0.002,-0.0316
-3.9896000000000006e-05,0.002,-0.031200000000000002
-3.9892000000000004e-05,0.0028,-0.031200000000000002
-3.9888e-05,0.0032,-0.0308
-3.9884000000000006e-05,0.0032,-0.0304
-3.9880000000000004e-05,0.0032,-0.030000000000000002
-3.9876e-05,0.0036000000000000003,-0.030000000000000002
-3.9872e-05,0.0044,-0.0296
-3.9868000000000005e-05,0.004,-0.0296
-3.9864e-05,0.0048000000000000004,-0.0292
-3.986e-05,0.0056,-0.028800000000000003
-3.9856000000000006e-05,0.0056,-0.0292
-3.9852000000000004e-05,0.005200000000000001,-0.0292
-3.9848e-05,0.0048000000000000004,-0.0292
-3.9844e-05,0.0048000000000000004,-0.030000000000000002
-3.9840000000000005e-05,0.005200000000000001,-0.0296
-3.9836e-05,0.0048000000000000004,-0.0296
-3.9832e-05,0.004,-0.0296
-3.9828000000000006e-05,0.0044,-0.0296
-3.9824000000000004e-05,0.0044,-0.0292
-3.982e-05,0.004,-0.028800000000000003
-3.9816000000000006e-05,0.0036000000000000003,-0.028800000000000003
-3.9812000000000004e-05,0.0036000000000000003,-0.0292
-3.9808e-05,0.0044,-0.0296
-3.9804e-05,0.0048000000000000004,-0.0292
-3.9800000000000005e-05,0.004,-0.0296
-3.9796e-05,0.0032,-0.030000000000000002
-3.9792e-05,0.0036000000000000003,-0.0304
-3.9788000000000006e-05,0.0036000000000000003,-0.0304
-3.9784000000000004e-05,0.0036000000000000003,-0.0304
-3.978e-05,0.0036000000000000003,-0.031200000000000002
-3.9776e-05,0.004,-0.031200000000000002
-3.9772000000000005e-05,0.004,-0.0308
-3.9768e-05,0.004,-0.030000000000000002
-3.9764e-05,0.004,-0.0292
-3.9760000000000006e-05,0.005200000000000001,-0.0292
-3.9756000000000004e-05,0.005200000000000001,-0.030000000000000002
-3.9752e-05,0.005200000000000001,-0.0304
-3.9748000000000006e-05,0.005200000000000001,-0.0304
-3.9744000000000004e-05,0.0044,-0.030000000000000002
-3.974e-05,0.0048000000000000004,-0.0304
-3.9736e-05,0.0044,-0.0292
-3.9732000000000005e-05,0.0044,-0.0296
-3.9728e-05,0.0044,-0.028800000000000003
-3.9724e-05,0.0044,-0.0292
-3.9720000000000006e-05,0.0048000000000000004,-0.028800000000000003
-3.9716000000000004e-05,0.0044,-0.0284
-3.9712e-05,0.0044,-0.028800000000000003
-3.9708e-05,0.0044,-0.028
-3.9704000000000005e-05,0.0044,-0.028
-3.97e-05,0.0044,-0.027600000000000003
-3.9696e-05,0.004,-0.027200000000000002
-3.9692000000000006e-05,0.0048000000000000004,-0.0268
-3.9688000000000004e-05,0.0048000000000000004,-0.027600000000000003
-3.9684e-05,0.004,-0.028800000000000003
-3.9680000000000006e-05,0.004,-0.0292
-3.9676000000000004e-05,0.0044,-0.0296
-3.9672e-05,0.0044,-0.028800000000000003
-3.9668e-05,0.0036000000000000003,-0.028800000000000003
-3.9664000000000005e-05,0.0032,-0.0292
-3.966e-05,0.004,-0.0284
-3.9656e-05,0.004,-0.028800000000000003
-3.9652000000000006e-05,0.004,-0.0284
-3.9648000000000004e-05,0.004,-0.027600000000000003
-3.9644e-05,0.004,-0.027600000000000003
-3.964e-05,0.0048000000000000004,-0.028
-3.9636000000000005e-05,0.004,-0.0284
-3.9632e-05,0.0032,-0.0284
-3.9628e-05,0.0028,-0.0284
-3.9624000000000006e-05,0.0032,-0.0284
-3.9620000000000004e-05,0.004,-0.0284
-3.9616e-05,0.004,-0.028
-3.9612000000000006e-05,0.0044,-0.0284
-3.9608000000000004e-05,0.004,-0.028800000000000003
-3.9604e-05,0.0036000000000000003,-0.028800000000000003
-3.96e-05,0.0028,-0.0284
-3.9596000000000005e-05,0.0028,-0.028
-3.9592e-05,0.0028,-0.027200000000000002
-3.9588e-05,0.0028,-0.0268
-3.9584000000000006e-05,0.002,-0.0268
-3.9580000000000004e-05,0.0024000000000000002,-0.027200000000000002
-3.9576e-05,0.0024000000000000002,-0.028
-3.9572e-05,0.0028,-0.0284
-3.9568000000000005e-05,0.0028,-0.028
-3.9564e-05,0.0024000000000000002,-0.0284
-3.956e-05,0.0028,-0.028
-3.9556000000000005e-05,0.0032,-0.027600000000000003
-3.9552000000000003e-05,0.0032,-0.027200000000000002
-3.9548e-05,0.0032,-0.027200000000000002
-3.9544000000000006e-05,0.0036000000000000003,-0.027600000000000003
-3.9540000000000004e-05,0.0036000000000000003,-0.028
-3.9536e-05,0.0028,-0.028
-3.9532e-05,0.0016,-0.028
-3.9528000000000005e-05,0.002,-0.028
-3.9524e-05,0.0032,-0.028
-3.952e-05,0.004,-0.028
-3.9516000000000006e-05,0.0044,-0.028
-3.9512000000000004e-05,0.0044,-0.028
-3.9508e-05,0.0048000000000000004,-0.028800000000000003
-3.950400000000001e-05,0.004,-0.0284
-3.9500000000000005e-05,0.0032,-0.027600000000000003
-3.9496e-05,0.0032,-0.027600000000000003
-3.9492e-05,0.0036000000000000003,-0.0284
-3.9488000000000005e-05,0.0036000000000000003,-0.0284
-3.9484000000000003e-05,0.0036000000000000003,-0.0284
-3.948e-05,0.0036000000000000003,-0.028
-3.9476000000000006e-05,0.004,-0.027600000000000003
-3.9472000000000004e-05,0.0044,-0.027200000000000002
-3.9468e-05,0.004,-0.027200000000000002
-3.9464e-05,0.0044,-0.027600000000000003
-3.9460000000000005e-05,0.0044,-0.028
-3.9456e-05,0.004,-0.027200000000000002
-3.9452e-05,0.0036000000000000003,-0.0268
-3.9448000000000006e-05,0.0032,-0.0268
-3.9444000000000004e-05,0.0032,-0.0264
-3.944e-05,0.0036000000000000003,-0.0268
-3.943600000000001e-05,0.0036000000000000003,-0.0264
-3.9432000000000005e-05,0.0032,-0.0264
-3.9428e-05,0.0036000000000000003,-0.0268
-3.9424e-05,0.0032,-0.0268
-3.9420000000000005e-05,0.0032,-0.027200000000000002
-3.9416000000000003e-05,0.0028,-0.0268
-3.9412e-05,0.0032,-0.0268
-3.9408000000000006e-05,0.004,-0.0264
-3.9404000000000004e-05,0.0032,-0.026000000000000002
-3.94e-05,0.0028,-0.026000000000000002
-3.9396e-05,0.0028,-0.026000000000000002
-3.9392000000000005e-05,0.0032,-0.0256
-3.9388e-05,0.0032,-0.0268
-3.9384e-05,0.0024000000000000002,-0.0268
-3.9380000000000006e-05,0.0024000000000000002,-0.027600000000000003
-3.9376000000000004e-05,0.0028,-0.028
-3.9372e-05,0.0024000000000000002,-0.028
-3.936800000000001e-05,0.0024000000000000002,-0.027600000000000003
-3.9364000000000005e-05,0.002,-0.027200000000000002
-3.936e-05,0.0024000000000000002,-0.0268
-3.9356e-05,0.0032,-0.027200000000000002
-3.9352000000000005e-05,0.0032,-0.0268
-3.9348000000000003e-05,0.0036000000000000003,-0.0264
-3.9344e-05,0.004,-0.0264
-3.9340000000000006e-05,0.0044,-0.0268
-3.9336000000000004e-05,0.0036000000000000003,-0.026000000000000002
-3.9332e-05,0.0032,-0.0264
-3.9328e-05,0.0036000000000000003,-0.0268
-3.9324000000000005e-05,0.0036000000000000003,-0.027200000000000002
-3.932e-05,0.0036000000000000003,-0.0268
-3.9316e-05,0.0028,-0.0268
-3.9312000000000006e-05,0.0028,-0.027200000000000002
-3.9308000000000004e-05,0.0032,-0.0268
-3.9304e-05,0.0036000000000000003,-0.0264
-3.9300000000000007e-05,0.0032,-0.0264
-3.9296000000000005e-05,0.0032,-0.0268
-3.9292e-05,0.0036000000000000003,-0.0268
-3.9288e-05,0.0036000000000000003,-0.027600000000000003
-3.9284000000000005e-05,0.0028,-0.028
-3.9280000000000003e-05,0.0028,-0.0284
-3.9276e-05,0.0032,-0.0284
-3.9272000000000006e-05,0.0036000000000000003,-0.028800000000000003
-3.9268000000000004e-05,0.0032,-0.028800000000000003
-3.9264e-05,0.0028,-0.0284
-3.926e-05,0.004,-0.028
-3.9256000000000005e-05,0.0036000000000000003,-0.027200000000000002
-3.9252e-05,0.0032,-0.027200000000000002
-3.9248e-05,0.0028,-0.027600000000000003
-3.9244000000000006e-05,0.0032,-0.0284
-3.9240000000000004e-05,0.0036000000000000003,-0.028800000000000003
-3.9236e-05,0.0032,-0.0284
-3.9232000000000007e-05,0.0028,-0.0284
-3.9228000000000005e-05,0.0032,-0.0284
-3.9224e-05,0.0028,-0.0284
-3.922e-05,0.0016,-0.028800000000000003
-3.9216000000000005e-05,0.0012000000000000001,-0.0284
