Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,37.043009250296485,41.22030087097082,4.177291620674332,-21.57752098068729,-3.9007168680881272,2.64,1.3599999999999999,sine,1kHz,20250331_170743,,,
2,52.94355000295497,50.33887292761185,-2.604677075343119,-32.71660366660392,-26.348629271632436,2.16,1.44,sine,1kHz,20250331_170751,,,
3,52.797797500155255,50.41494819542741,-2.3828493047278485,-33.767137351952954,6.650705595708231,2.16,1.3599999999999999,sine,1kHz,20250331_170758,,,
4,58.90249056654884,54.97149225367079,-3.930998312878053,-18.130594346709785,-30.9276539790177,4.08,2.4,sine,1kHz,20250331_170806,,,
5,58.74576190155774,54.84714245810248,-3.89861944345526,-44.159220747431306,-23.569296393423844,4.08,2.48,sine,1kHz,20250331_170814,,,
