Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.001456282375851996,1.456282375851996,1456.282375851996,pulse,1Hz,20250320_022836
2,0.0006749629629629626,0.6749629629629627,674.9629629629626,pulse,1Hz,20250320_022836
3,0.0006238000000000004,0.6238000000000005,623.8000000000004,pulse,1Hz,20250320_022836
4,0.0014559743589743588,1.4559743589743588,1455.9743589743587,pulse,1Hz,20250320_022836
5,0.00150275641025641,1.5027564102564102,1502.7564102564102,pulse,1Hz,20250320_022836
6,0.0015150588235294119,1.5150588235294118,1515.058823529412,pulse,1Hz,20250320_022836
7,0.0006710857946554148,0.6710857946554148,671.0857946554148,pulse,1Hz,20250320_022836
8,0.0014984615384615381,1.498461538461538,1498.461538461538,pulse,1Hz,20250320_022836
9,0.0006245457875457879,0.6245457875457879,624.5457875457879,pulse,1Hz,20250320_022836
10,0.0006173076923076927,0.6173076923076927,617.3076923076927,pulse,1Hz,20250320_022836
