Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp,Validity
46,0.000758357894736844,0.758357894736844,758.3578947368441,pulse2,1Hz,20250325_215440,Valid
47,0.0007443532467532485,0.7443532467532484,744.3532467532485,pulse2,1Hz,20250325_215440,Valid
48,0.0007721766233766242,0.7721766233766242,772.1766233766242,pulse2,1Hz,20250325_215440,Valid
49,0.0007345846153846157,0.7345846153846157,734.5846153846157,pulse2,1Hz,20250325_215440,Valid
50,0.0007471099567099587,0.7471099567099587,747.1099567099587,pulse2,1Hz,20250325_215440,Valid
51,0.0007403897435897447,0.7403897435897447,740.3897435897447,pulse2,1Hz,20250325_215440,Valid
52,0.0007607578947368438,0.7607578947368437,760.7578947368438,pulse2,1Hz,20250325_215440,Valid
53,0.0007721766233766242,0.7721766233766242,772.1766233766242,pulse2,1Hz,20250325_215440,Valid
54,0.0007503099567099591,0.750309956709959,750.3099567099591,pulse2,1Hz,20250325_215440,Valid
55,0.0007635366233766249,0.763536623376625,763.5366233766249,pulse2,1Hz,20250325_215440,Valid
56,0.0007385846153846162,0.7385846153846163,738.5846153846162,pulse2,1Hz,20250325_215440,Valid
57,0.0007614088311688329,0.7614088311688328,761.4088311688329,pulse2,1Hz,20250325_215440,Valid
58,0.0007575688311688331,0.7575688311688331,757.5688311688331,pulse2,1Hz,20250325_215440,Valid
59,0.0007397473684210537,0.7397473684210537,739.7473684210537,pulse2,1Hz,20250325_215440,Valid
60,0.0007424166233766247,0.7424166233766247,742.4166233766247,pulse2,1Hz,20250325_215440,Valid
61,0.0007813473684210526,0.7813473684210526,781.3473684210526,pulse2,1Hz,20250325_215440,Valid
62,0.0007633178947368437,0.7633178947368436,763.3178947368436,pulse2,1Hz,20250325_215440,Valid
63,0.00076662456140351,0.76662456140351,766.62456140351,pulse2,1Hz,20250325_215440,Valid
64,0.0007605473684210543,0.7605473684210543,760.5473684210543,pulse2,1Hz,20250325_215440,Valid
65,0.0007552166233766256,0.7552166233766255,755.2166233766255,pulse2,1Hz,20250325_215440,Valid
66,0.0007573610389610409,0.7573610389610409,757.3610389610409,pulse2,1Hz,20250325_215440,Valid
67,0.0007559578947368442,0.7559578947368442,755.9578947368442,pulse2,1Hz,20250325_215440,Valid
68,0.0007705766233766243,0.7705766233766244,770.5766233766243,pulse2,1Hz,20250325_215440,Valid
69,0.0007653473684210539,0.7653473684210539,765.3473684210538,pulse2,1Hz,20250325_215440,Valid
70,0.000763747368421054,0.7637473684210541,763.747368421054,pulse2,1Hz,20250325_215440,Valid
71,0.0007653610389610402,0.7653610389610402,765.3610389610402,pulse2,1Hz,20250325_215440,Valid
72,0.0007716432900432908,0.7716432900432908,771.6432900432908,pulse2,1Hz,20250325_215440,Valid
73,0.0007532912280701778,0.7532912280701778,753.2912280701778,pulse2,1Hz,20250325_215440,Valid
74,0.0007767578947368424,0.7767578947368424,776.7578947368424,pulse2,1Hz,20250325_215440,Valid
75,0.0007500912280701778,0.7500912280701778,750.0912280701777,pulse2,1Hz,20250325_215440,Valid
76,0.0007503578947368445,0.7503578947368446,750.3578947368445,pulse2,1Hz,20250325_215440,Valid
77,0.000744336623376625,0.744336623376625,744.336623376625,pulse2,1Hz,20250325_215440,Valid
78,0.0007650133333333346,0.7650133333333347,765.0133333333346,pulse2,1Hz,20250325_215440,Valid
79,0.0007471099567099587,0.7471099567099587,747.1099567099587,pulse2,1Hz,20250325_215440,Valid
80,0.0007394461538461548,0.7394461538461549,739.4461538461549,pulse2,1Hz,20250325_215440,Valid
81,0.000758357894736844,0.758357894736844,758.3578947368441,pulse2,1Hz,20250325_215440,Valid
82,0.0007573610389610409,0.7573610389610409,757.3610389610409,pulse2,1Hz,20250325_215440,Valid
83,0.0007557473684210547,0.7557473684210547,755.7473684210547,pulse2,1Hz,20250325_215440,Valid
84,0.0007597128205128224,0.7597128205128224,759.7128205128223,pulse2,1Hz,20250325_215440,Valid
85,0.000739643290043291,0.739643290043291,739.643290043291,pulse2,1Hz,20250325_215440,Valid
86,0.0007585766233766253,0.7585766233766253,758.5766233766253,pulse2,1Hz,20250325_215440,Valid
87,0.0007495688311688335,0.7495688311688334,749.5688311688334,pulse2,1Hz,20250325_215440,Valid
88,0.0007385766233766242,0.7385766233766242,738.5766233766242,pulse2,1Hz,20250325_215440,Valid
