Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.00010994904458598754,0.10994904458598755,109.94904458598755,pulse,1Hz,20250320_031118
2,0.00017194904458598753,0.17194904458598753,171.94904458598754,pulse,1Hz,20250320_031118
3,0.0003079483870967734,0.3079483870967734,307.94838709677344,pulse,1Hz,20250320_031118
4,0.000612247401247401,0.612247401247401,612.247401247401,pulse,1Hz,20250320_031118
5,0.0005721123098921093,0.5721123098921093,572.1123098921094,pulse,1Hz,20250320_031118
6,3.730769230769206e-05,0.037307692307692056,37.30769230769206,pulse,1Hz,20250320_031118
7,0.0006083126809496236,0.6083126809496235,608.3126809496235,pulse,1Hz,20250320_031118
8,0.0005712929802437996,0.5712929802437996,571.2929802437995,pulse,1Hz,20250320_031118
9,0.0006216998556998559,0.6216998556998559,621.6998556998559,pulse,1Hz,20250320_031118
10,0.0005778717948717952,0.5778717948717952,577.8717948717953,pulse,1Hz,20250320_031118
