Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.0005158095238095246,0.5158095238095246,515.8095238095246,pulse,1Hz,20250320_030131
2,0.0005172202606137039,0.5172202606137039,517.2202606137039,pulse,1Hz,20250320_030131
3,0.000511272929158339,0.511272929158339,511.272929158339,pulse,1Hz,20250320_030131
4,0.0005179002849002855,0.5179002849002855,517.9002849002856,pulse,1Hz,20250320_030131
5,0.0005128016156594692,0.5128016156594691,512.8016156594691,pulse,1Hz,20250320_030131
6,0.000516102564102565,0.5161025641025649,516.102564102565,pulse,1Hz,20250320_030131
7,0.0005145689535689542,0.5145689535689543,514.5689535689543,pulse,1Hz,20250320_030131
8,0.000512348608837971,0.512348608837971,512.3486088379709,pulse,1Hz,20250320_030131
9,0.0005153174656386195,0.5153174656386195,515.3174656386195,pulse,1Hz,20250320_030131
10,0.0005203076923076927,0.5203076923076927,520.3076923076927,pulse,1Hz,20250320_030131
