Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.000526235294117647,0.526235294117647,526.2352941176471,pulse,1Hz,20250320_022539
2,0.0005344649250120946,0.5344649250120946,534.4649250120946,pulse,1Hz,20250320_022539
3,0.0005274350331316622,0.5274350331316622,527.4350331316622,pulse,1Hz,20250320_022539
4,0.0005275680922050347,0.5275680922050346,527.5680922050346,pulse,1Hz,20250320_022539
5,0.0005280237416904082,0.5280237416904082,528.0237416904082,pulse,1Hz,20250320_022539
6,0.0005219705499623316,0.5219705499623316,521.9705499623316,pulse,1Hz,20250320_022539
7,0.000526900768049155,0.5269007680491551,526.9007680491551,pulse,1Hz,20250320_022539
8,0.0005179987799298466,0.5179987799298466,517.9987799298466,pulse,1Hz,20250320_022539
9,0.0005189267399267405,0.5189267399267405,518.9267399267405,pulse,1Hz,20250320_022539
10,0.0005193558022733286,0.5193558022733286,519.3558022733285,pulse,1Hz,20250320_022539
