Configuration,Mean Latency (µs),Std Dev (µs),Min (µs),Max (µs),Samples
all_effects,741.4539307197497,63.998234961719966,158.08383233533675,839.2829794639823,101
bypass,518.1536173053406,1.6947781770722932,514.973727810651,521.974610778443,100
distortion,397.6719386412339,183.12974892871605,2.315789473684267,522.3157894736843,145
lowpass,754.3157221945446,12.82240640552831,714.9128205128192,784.213333333333,100
noise_gate,510.0546413830138,2.3908515290711123,504.2486413043479,514.8629921259849,100
ring_modulator,542.8775824885801,3.8000288529396733,534.1052631578945,551.310822510822,100
