Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,52.73282930909326,73.92517152424793,21.192342215154667,-44.7977666638205,-34.0517628041795,1.92,20.32,sine,1kHz_18kR2,20250331_193105,,,
2,51.85394462718819,73.92764368147884,22.07369905429065,-42.21675837953298,-49.30499667896715,1.92,20.32,sine,1kHz_18kR2,20250331_193113,,,
3,52.61710708361719,73.47077483907398,20.85366775545679,-20.76538557362794,-47.66525975410652,1.8399999999999999,20.32,sine,1kHz_18kR2,20250331_193121,,,
