Configuration,Mean Latency (µs),Std Dev (µs),Min (µs),Max (µs),Samples
all_effects,781.4997463702459,18.078775296434642,752.9310344827586,807.9537572254333,10
bypass,534.0074555978625,2.9493137675015215,529.3499906768595,538.6530054644807,10
distortion,536.3590900423778,3.764115292033788,531.0447761194025,542.0175923598898,10
lowpass,786.2739171434412,8.62305460988292,771.9069767441861,803.9069767441852,10
noise_gate,535.3605664008887,5.097731412058538,529.9406478578888,544.7759407967251,10
ring_modulator,544.5129487840152,3.2120275300838,539.4215873015878,548.9684656084653,10
