Trial,Latency (s),Latency (ms),Latency (µs),Signal Shape,Signal Frequency,Timestamp
1,0.000528260073260073,0.5282600732600731,528.260073260073,pulse,1Hz,20250320_030804
2,0.000535974358974359,0.535974358974359,535.974358974359,pulse,1Hz,20250320_030804
3,0.0005349999999999999,0.5349999999999999,534.9999999999999,pulse,1Hz,20250320_030804
4,0.0005405897435897441,0.5405897435897441,540.5897435897441,pulse,1Hz,20250320_030804
5,0.0005329210526315792,0.5329210526315792,532.9210526315792,pulse,1Hz,20250320_030804
6,0.0005330399536768959,0.5330399536768959,533.039953676896,pulse,1Hz,20250320_030804
7,0.0005279746835443036,0.5279746835443035,527.9746835443036,pulse,1Hz,20250320_030804
8,0.000536260397830018,0.536260397830018,536.2603978300181,pulse,1Hz,20250320_030804
9,0.000543752136752137,0.543752136752137,543.752136752137,pulse,1Hz,20250320_030804
10,0.000524774358974359,0.524774358974359,524.774358974359,pulse,1Hz,20250320_030804
