Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,73.51328728016499,56.18720038347715,-17.32608689668784,-57.276968959402225,-9.355652402393543,19.439999999999998,2.56,sine,1kHz,20250331_155825,,,
2,73.6045115961705,56.10878493038705,-17.495726665783444,-48.56041972483892,-9.42759416163253,19.439999999999998,2.56,sine,1kHz,20250331_155832,,,
3,73.47015152630375,55.92529961853518,-17.544851907768575,-46.49903133931729,-10.15630066364766,19.439999999999998,2.48,sine,1kHz,20250331_155840,,,
4,73.50678523267578,56.79637483846441,-16.710410394211372,-59.09585847517957,-10.272164824609419,19.439999999999998,2.56,sine,1kHz,20250331_155848,,,
5,73.35751946876317,56.25056891772115,-17.106950551042026,-43.5665385318962,-10.107642113423761,19.439999999999998,2.56,sine,1kHz,20250331_155855,,,
