Configuration,Mean Latency (µs),Std Dev (µs),Min (µs),Max (µs),Samples
all_effects,1064.0235744545575,422.422641996194,617.3076923076927,1515.058823529412,10
bypass,511.22196035940715,2.282600038999811,507.1561771561769,514.1728395061734,10
distortion,532.3892224506036,6.103077948118904,521.9220779220783,541.9491228070175,10
lowpass,739.0536697279197,13.49575345961607,712.7999999999998,760.8000000000004,10
noise_gate,524.887972629825,4.931549234616804,517.9987799298466,534.4649250120946,10
ring_modulator,436.22683855712904,191.22759142897354,11.949044585987112,612.5198156682026,10
