Trial,Input_SNR_dB,Output_SNR_dB,SNR_Change_dB,Input_THD_dB,Output_THD_dB,Input_Vpp,Output_Vpp,Signal Shape,Signal Frequency,Timestamp,Corrected_Input_SNR_dB,Corrected_Output_SNR_dB,Corrected_SNR_Change_dB
1,0.1097188048747223,31.396105857397178,31.286387052522457,25.21549266579923,-7.24903981257166,0.064,0.0,sine,1kHz,20250325_225215,,31.396105857397178,
2,68.89169413558237,59.77940480461298,-9.11228933096939,-55.518329346042925,-2.454706961213923,1.952,0.704,sine,1kHz,20250325_225222,,,
3,69.01620843324888,59.847789829966715,-9.168418603282163,-48.087181143573034,-2.441760009657812,1.96,0.712,sine,1kHz,20250325_225230,,,
4,69.27892854658671,60.01760439690032,-9.261324149686395,-55.67687536612147,-2.445936981236331,1.96,0.712,sine,1kHz,20250325_225237,,,
5,69.00942557048853,59.32669110525791,-9.682734465230624,-53.919117700226316,-2.417112634433799,1.96,0.712,sine,1kHz,20250325_225245,,,
